ID,Nombre,Entidad,Red,Longitud,Latitud,Precip
9045,SANTA ANA TLACOTENCO,CIUDAD DE MEXICO,CLICOM,-99,"19,17888","579,1382353"
15094,SAN LUIS AMECA,MEXICO,CLICOM,"-99,0219","19,19056","538,5513514"
9032,MILPA ALTA,CIUDAD DE MEXICO,CLICOM,"-99,0311",19175,"583,9541667"
15106,SAN RAFAEL,MEXICO,CLICOM,"-99,0833","19,21667","875,2325"
15020,CHALCO-SAN LUCAS,MEXICO,CLICOM,"-98,76528",19325,492725
15045,LA MARQUESA,MEXICO,CLICOM,"-99,36861","19,29861","1071,981143"
15027,EL SALITRE,MEXICO,CLICOM,"-99,3","19,5","695,0461538"
15127,TOTOLICA SAN BARTOLO,MEXICO,CLICOM,"-99,24556","19,46556","717,5155556"
15147,SAN BARTOLOME,MEXICO,CLICOM,"-99,31111","19,39833",993215
15077,PRESA TOTOLICA,MEXICO,CLICOM,"-99,28361","19,45278","838,1147619"
15058,MOLINITO,MEXICO,CLICOM,"-99,23833","19,45361","754,2292683"
9039,PRESA TACUBAYA,CIUDAD DE MEXICO,CLICOM,"-99,2125","19,39722","677,8354839"
15013,CALACOAYA,MEXICO,CLICOM,"-99,23944","19,53417","712,4297368"
15033,HUIXQUILUCAN,MEXICO,CLICOM,"-99,35083","19,36111","958,8851852"
9038,PRESA MIXCOAC,CIUDAD DE MEXICO,CLICOM,"-99,2667","19,36667","800,7290323"
9030,LA VENTA CUAJIMALPA,CIUDAD DE MEXICO,CLICOM,"-99,3","19,33333","1107,75"
9019,DESIERTO DE LOS LEONES,CIUDAD DE MEXICO,CLICOM,"-99,3097","19,31389",1117816
15053,MAGDALENA CHICHICASPA,MEXICO,CLICOM,"-99,32278","19,41806","935,2892857"
15129,TULTEPEC,MEXICO,CLICOM,"-99,12667","19,68417","510,2802632"
15041,GRAN CANAL KM 27 250,MEXICO,CLICOM,"-99,01944","19,56167","496,41625"
15099,SAN MATEO ACUITLAPILCO,MEXICO,CLICOM,"-99,04389","19,76333","485,0677419"
15042,GRAN CANAL KM 46 930,MEXICO,CLICOM,"-99,1","19,8","471,2928571"
15028,EL TAJO-TUNEL VIEJO,MEXICO,CLICOM,"-99,12639","19,90861","548,5315789"
15096,SAN MARCOS JILOTZINGO,MEXICO,CLICOM,"-99,05","19,86667","455,8045455"
13008,EL MANANTIAL,HIDALGO,CLICOM,"-98,93639","19,85167","412,8064516"
TACH,TANQUE CHALMITA ,CIUDAD DE MEXICO,SACMEX,"-99,1455",19556,"527,1968889"
REME,REMEDIOS,CIUDAD DE MEXICO,SACMEX,"-99,1554",19515,"477,4260714"
LIVI,LINDAVISTA,CIUDAD DE MEXICO,SACMEX,"-99,1209","19,49","495,3908571"
COYO,COYOL,CIUDAD DE MEXICO,SACMEX,"-99,0901","19,4847","469,7111429"
GENE,GENERADORA 101,CIUDAD DE MEXICO,SACMEX,"-99,0991","19,4588","480,3727143"
ROSA,ROSARIO,CIUDAD DE MEXICO,SACMEX,"-99,1909","19,51","581,7175"
CAME,CAMPAMENTO MECOAYA,CIUDAD DE MEXICO,SACMEX,"-99,1829","19,4869","562,8675556"
SAMA,NUEVA SANTA MARIA,CIUDAD DE MEXICO,SACMEX,"-99,1655","19,4694",546822
SAJO,TQUE SAN JOAQUIN,CIUDAD DE MEXICO,SACMEX,"-99,2283","19,4369","731,9581538"
TIZO,P B TIZOC,CIUDAD DE MEXICO,SACMEX,"-99,1707","19,4396",634466
GDFF,GDF,CIUDAD DE MEXICO,SACMEX,"-99,1327","19,4315","551,5857143"
MACA,MARCOS CARRILLO,CIUDAD DE MEXICO,SACMEX,-99134,"19,4034","585,4427857"
LOMA,LOPEZ MATEOS,CIUDAD DE MEXICO,SACMEX,"-99,0692","19,4211","413,9247143"
CHLA,CHURUBUSCO LAGO,CIUDAD DE MEXICO,SACMEX,"-99,0474","19,4422","413,0877857"
TRIA,TRIANGULO,CIUDAD DE MEXICO,SACMEX,"-99,2183","19,3973","745,7782857"
SAFE,SANTA FE,CIUDAD DE MEXICO,SACMEX,"-99,2653","19,3623","841,72696"
TALI,TANQUE LIENZO,CIUDAD DE MEXICO,SACMEX,"-99,2209","19,3378","673,6934286"
CEUN,CENTRO UNIVERSIDAD,CIUDAD DE MEXICO,SACMEX,"-99,1812","19,3478","680,9101429"
RADI,RADIOCOMUNICACION,CIUDAD DE MEXICO,SACMEX,"-99,1678","19,3994","623,8815556"
MULI,MUNICIPIO LIBRE,CIUDAD DE MEXICO,SACMEX,"-99,1277","19,3657","562,8285714"
TACA,TANQUE EL CARTERO,CIUDAD DE MEXICO,SACMEX,"-99,2712","19,3739","914,2766154"
LAVE,LA VENTA,CIUDAD DE MEXICO,SACMEX,"-99,3109","19,3335","971,9809231"
